Time,PM 1.0,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1677280318.5178125,2,2,2,18.6790234375,100042,30.635876344776477,995.6605751498112,147.48410059180358
1677280319.7099676,2,2,2,18.6602734375,99817,30.639781874027427,995.6643742701699,147.45201867549986
1677280320.9016345,2,2,2,18.62609375,99536,30.66418667373343,995.6688092233379,147.41456755351533
1677280322.0950344,2,2,2,18.5774609375,100554,30.69285152402989,995.6737462680144,147.37287666055713
1677280323.2874663,2,2,2,18.526875,100898,30.737686901473342,995.6823334502176,147.30036256583136
1677280324.4796205,2,2,2,18.483515625,101303,30.777679545069,995.6906578172377,147.23006828609758
1677280325.6716151,2,2,2,18.4383984375,101652,30.790311405247486,995.7012442472505,147.14067293040492
1677280326.8642004,2,2,2,18.39640625,101071,30.82497903118209,995.7049430577703,147.10943911872027
1677280328.0572615,2,2,2,18.353046875,101419,30.826866490913055,995.7081275926997,147.0825480721523
1677280329.2493615,2,2,2,18.3096875,101828,30.866871860208065,995.7147112038639,147.0269545568752
1677280330.4410353,2,2,2,18.257734375,101477,30.933416573712115,995.7244295582557,146.94489109827134
1677280331.6328523,2,2,2,18.2274609375,101419,31.018120816144062,995.7231885155614,146.9553706404443
1677280332.824882,2,3,3,18.212421875,101014,31.09321766562124,995.7210208216221,146.9736749837628
1677280334.0165162,2,3,3,18.2063671875,102063,31.163637366222723,995.7265639746016,146.92686780581772
1677280335.2077258,2,3,3,18.183125,101652,31.194458742636158,995.7247600343763,146.94210051237914
1677280336.3997138,2,3,3,18.1325390625,102240,31.223022187936373,995.7179203112778,146.99985622934338
1677280337.5917647,2,3,3,18.07140625,102715,31.272553023405457,995.717861288957,147.00035462466664
1677280338.7835317,2,3,3,18.0196484375,101887,31.328332336360315,995.7193221006903,146.98801926892713
1677280339.9754992,2,3,3,17.9848828125,102240,31.358221761910674,995.7141915116008,147.0313429461401
1677280341.1675544,2,3,3,17.9630078125,102894,31.4055756223001,995.7094683821188,147.07122611614915
1677280342.3590407,2,3,3,17.9255078125,103194,31.440713667007145,995.6862851066709,147.26699314118446
1677280343.5509412,3,3,3,17.8923046875,102834,31.38332041405138,995.6581284390815,147.50476205045413
1677280344.7430432,3,3,3,17.8415234375,102417,31.340883296858394,995.6458089958389,147.6087952703778
1677280345.9349313,3,3,3,17.7721875,102834,31.395214983321452,995.6511376393332,147.5637966851795
1677280347.126747,3,4,4,17.7040234375,102536,31.493370672527607,995.6634466105592,147.4598523476219
1677280348.3185596,3,4,4,17.6442578125,104351,31.52666836573592,995.6705965013421,147.39947485813627
1677280349.5109887,3,4,4,17.5794140625,102894,31.17195074943403,995.6627058843092,147.46610745503773
1677280350.703399,3,4,4,17.5321484375,102596,31.528296063008767,995.6764325347217,147.35019254122474
1677280351.895345,3,4,4,17.5001171875,102775,31.689676013849574,995.6688515778093,147.4142098903079
1677280353.0875053,3,4,4,17.4815625,102477,31.699073287019786,995.6796698088348,147.32285551797315
1677280354.2806838,3,5,6,17.4751171875,103861,31.80252785042019,995.6777490481479,147.33907529103215
1677280355.4755673,3,5,6,17.47765625,102596,31.87941466107673,995.6665424870203,147.43370907323
1677280356.6692915,3,5,6,17.4844921875,102834,31.90190168560374,995.6571833300383,147.51274311585186
1677280357.8615513,4,6,7,17.486640625,102655,32.13239695710209,995.6419410081727,147.64145923516085
1677280359.053477,4,6,7,17.477265625,104846,32.060280618570225,995.6454904340734,147.61148542251058
1677280360.2453074,4,6,7,17.4716015625,104228,32.2079833661111,995.6312208080545,147.73198856112262
1677280361.4373333,4,7,8,17.4622265625,104351,32.24563376186208,995.6296648144862,147.74512859121342
1677280362.6287544,4,7,8,17.4356640625,103800,32.287334277511476,995.6207168486247,147.8206925557648
1677280363.8208485,4,7,8,17.4024609375,104105,32.311998201554715,995.6112300651866,147.90080733852483
1677280365.0127637,4,7,8,17.37765625,104105,32.35386140712422,995.6119267918033,147.89492354225047
1677280366.2051327,4,7,8,17.345625,103922,32.38962518321728,995.6009266266946,147.98781937845655
1677280367.3971155,4,7,8,17.2817578125,104228,32.466687014669546,995.5911402570262,148.07046547231974
1677280368.5889666,4,8,9,17.21515625,103983,32.5490479631695,995.5956233599592,148.03260549386292
1677280369.7809844,4,8,9,17.13625,104044,32.66893327889609,995.5920754735893,148.06256752071297
1677280370.9728076,4,8,9,17.0829296875,103800,32.499332839841415,995.6095107792637,147.91532657434308
1677280372.1642225,5,8,9,17.04875,103496,33.09704821848353,995.6358096490501,147.6932368854639
1677280373.3566022,5,8,9,17.0501171875,103134,33.32373934994079,995.6584293877438,147.50222066143607
1677280374.5486262,5,8,9,17.0778515625,102715,33.29295509081232,995.6285005488182,147.75496057454518
1677280375.7405276,5,10,10,17.1251171875,103617,33.662494031512196,995.626778890778,147.76949963851183
